Page,Pageviews,Unique_Pageviews,Entrances,Bounce_Rate,Exit_Percent
/post/94663915944/next-career-steps,4.00,2.00,0.00,0.00,0.25
/post/97613353559/trying-ggvis,4.00,2.00,2.00,0.00,0.50
/post/2918231690/no-i-dont-worry-i-tell-you-i-am-a-man-who,3.00,2.00,2.00,0.50,0.67
/page/27,2.00,1.00,0.00,0.00,0.00
/page/29,2.00,1.00,0.00,0.00,0.00
/page/31,2.00,1.00,0.00,0.00,0.00
/page/33,2.00,1.00,0.00,0.00,0.00
/page/35,2.00,1.00,0.00,0.00,0.00
/page/37,2.00,1.00,0.00,0.00,0.00
/page/39,2.00,1.00,0.00,0.00,0.00
/page/42,2.00,1.00,0.00,0.00,0.00
/page/44,2.00,1.00,0.00,0.00,0.50
/post/103019107734/vent-utah-air-quality,2.00,1.00,1.00,0.00,0.50
/post/109882770259/runtimejs-looks-amazing,2.00,1.00,1.00,0.00,0.50
/post/110137846084/isomer-academy-review,2.00,1.00,1.00,0.00,0.50
/post/112114801649/wow,2.00,1.00,0.00,0.00,0.00
/post/112903870854/sphero,2.00,1.00,0.00,0.00,0.00
/post/115097733714/been-on-another-level-since-you-came-no-more,2.00,1.00,1.00,0.00,0.50
/post/11704757192/more-shoes,2.00,1.00,1.00,0.00,0.50
/post/117467103694,2.00,1.00,0.00,0.00,0.00
/post/124384584999/why-i-chose-hapi?ref=dzone,2.00,1.00,1.00,0.00,0.50
/post/125602755114/dealing-with-soap-apis-in-nodejs?ref=dzone,2.00,1.00,1.00,0.00,0.50
/post/126695662389/dope,2.00,1.00,0.00,0.00,0.50
/post/126935446079/space,2.00,1.00,0.00,0.00,0.00
/post/136402002734/the-five-best-books-i-read-in-2015,2.00,1.00,1.00,0.00,0.00
/post/2330323627/what-to-get-white-people-for-christmas,2.00,1.00,1.00,0.00,0.50
/post/24664319528/mostexerent-cant-go-wrong-when-a-girl-has-pins,2.00,1.00,1.00,0.00,0.50
/post/3236690799/amazing-son,2.00,1.00,0.00,0.00,0.00
/post/36222159291/i-want-this,2.00,1.00,0.00,0.00,0.00
/post/4234729096/maybe-get-this-jacket,2.00,1.00,0.00,0.00,0.00
/post/42940666292/sculptures-carved-from-egg-shells-by-chinese,2.00,1.00,0.00,0.00,0.50
/post/44868922377/black-jokes,2.00,1.00,1.00,0.00,0.50
/post/59598632215/httpenrocketnews24com20130820malaysian-mot,2.00,1.00,1.00,0.00,0.50
/post/63317339542/3-asking-her-out-too-soon,2.00,1.00,1.00,0.00,0.50
/post/64025399120/visualizing-discontinuous-web-data,2.00,1.00,1.00,0.00,0.50
/post/70099073966/padnick-wonderali-thehandsthatthieve,2.00,1.00,0.00,0.00,0.00
/post/75904410939/those-socks-though,2.00,1.00,1.00,0.00,0.50
/post/75941130034/cycling-caps-are-dope,2.00,1.00,1.00,0.00,0.50
/post/86466499209/the-dirichlet-process-the-chinese-restaurant,2.00,1.00,1.00,0.00,0.50
/post/947871119/boycott-matisyahu,2.00,1.00,1.00,0.00,0.50
/post/99014820144/riding-the-frontrunner-to-work,2.00,1.00,0.00,0.00,0.00
/search?q=cache:H71sjTdLf4YJ:jowanza.com/post/125602755114/dealing-with-soap-apis-in-nodejs+&cd=3&hl=en&ct=clnk&gl=us,2.00,1.00,1.00,0.00,0.50
/search?q=cache:wvA9Xq219ywJ:www.jowanza.com/post/125602755114/dealing-with-soap-apis-in-nodejs+&cd=5&hl=fr&ct=clnk&gl=fr,2.00,1.00,1.00,0.00,0.50
/search/D3,2.00,1.00,0.00,0.00,0.50
/search/koa,2.00,1.00,0.00,0.00,0.00
/tagged/observations/page/2,2.00,1.00,0.00,0.00,0.00
/post/25390067529/mostexerent-freedom,1.00,1.00,1.00,1.00,1.00
/post/2925110536/breakfast,1.00,1.00,0.00,0.00,0.00
/tagged/Scala,1.00,1.00,1.00,1.00,1.00
